logFoldChange,adjustPValue,Cluster,Gene
1.350806034,0,STIM_1_CD14 Mono,APOBEC3A
1.348573124,2.90E-119,CTRL_9_B Activated,PRDX4
1.347419093,0,STIM_0_CD14 Mono,FCER1G
1.346297613,0,STIM_0_CD14 Mono,CTSD
1.344246498,2.28E-37,STIM_8_T activated,DNAJB1
1.343953504,3.33E-286,CTRL_2_CD14 Mono,CSTB
1.34218377,3.46E-113,CTRL_8_DC,CST3
1.340385229,3.58E-41,CTRL_8_DC,SERPINB1
1.338977919,6.58E-102,CTRL_9_B Activated,SYNGR2
1.338762186,2.32E-61,STIM_8_T activated,DNAJB6
1.336392482,1.10E-63,STIM_10_B Activated,EIF4A1
1.336291325,0,CTRL_0_CD14 Mono,CD14
1.335394895,9.47E-32,CTRL_7_T activated,HIST1H2AC
1.335203515,1.25E-220,STIM_9_DC,GPR137B
1.335039207,8.72E-132,CTRL_4_CD16 Mono,PLAC8
1.333366044,6.54E-84,STIM_12_pDC,SMC6
1.331249535,2.47E-66,STIM_8_T activated,ZFAS1
1.329731446,4.65E-41,CTRL_7_T activated,AHSA1
1.329075194,2.28E-71,CTRL_9_B Activated,RANBP1
1.325803001,1.03E-107,STIM_8_T activated,NOP58
1.324648923,4.80E-107,STIM_10_B Activated,DDX21
1.324131871,8.08E-31,STIM_12_pDC,VAMP8
1.324109186,3.51E-235,CTRL_4_CD16 Mono,SERPINA1
1.324048169,1.97E-234,CTRL_4_CD16 Mono,FGL2
1.323699647,3.04E-229,STIM_0_CD14 Mono,CXCL3
1.323339417,0,CTRL_1_CD4 Naive T,LTB
1.323294973,1.25E-53,CTRL_8_DC,RAB9A
1.321350158,1.72E-104,CTRL_6_B,ID3
1.320261643,5.30E-35,CTRL_7_T activated,JUN
1.319954534,5.55E-177,STIM_12_pDC,BIK
1.318860702,0,STIM_12_pDC,WNT10A
1.318804351,0,CTRL_1_CD4 Naive T,CD3D
1.317394753,9.21E-46,STIM_9_DC,BIRC3
1.313207987,4.91E-232,STIM_7_CD16 Mono,WARS
1.312798574,1.32E-258,CTRL_4_CD16 Mono,PILRA
1.310294238,0,STIM_0_CD14 Mono,FCN1
1.309780473,4.02E-196,CTRL_4_CD16 Mono,CFD
1.306320807,1.82E-119,CTRL_6_B,CD37
1.300556699,6.52E-263,STIM_7_CD16 Mono,PILRA
1.299571335,0,STIM_1_CD14 Mono,FTL
1.298554994,1.14E-178,CTRL_5_NK-CD8 T,C1orf21
1.296448552,8.03E-276,STIM_12_pDC,FUT7
1.296306126,9.15E-161,STIM_12_pDC,TRAF4
1.295673279,4.44E-99,STIM_8_T activated,ADTRP
1.293313237,7.11E-56,STIM_8_T activated,YPEL5
1.290621176,3.14E-88,CTRL_9_B Activated,CCT2
1.289599239,9.29E-63,STIM_8_T activated,PNRC1
1.287884164,4.48E-86,CTRL_7_T activated,PIK3IP1
1.287848633,1.57E-79,STIM_9_DC,RAB9A
1.285137687,6.59E-196,STIM_7_CD16 Mono,TIMP1
1.283448015,2.77E-09,CTRL_10_Mk,NCOA4
1.282933133,1.20E-18,CTRL_10_Mk,HIST1H2AC
1.281816781,4.96E-109,STIM_6_NK-CD8 T,ALOX5AP
1.279385487,3.17E-151,CTRL_5_NK-CD8 T,SH2D2A
1.275786134,6.15E-113,CTRL_5_NK-CD8 T,CD247
1.27555112,1.29E-163,CTRL_9_B Activated,CD70
1.274445113,1.17E-31,STIM_12_pDC,FKBP2
1.273724751,1.75E-221,STIM_7_CD16 Mono,PLAUR
1.273636641,2.87E-137,CTRL_9_B Activated,DCTPP1
1.272733724,4.65E-112,CTRL_5_NK-CD8 T,CD7
1.268941804,5.07E-71,CTRL_7_T activated,BCAS2
1.268767088,7.72E-29,STIM_8_T activated,MRPL18
1.268529591,8.89E-210,STIM_7_CD16 Mono,GBP5
1.268172298,0,STIM_0_CD14 Mono,TYROBP
1.267940837,0,STIM_9_DC,CCL22
1.267770191,6.72E-83,CTRL_8_DC,INSIG1
1.264926329,1.92E-167,CTRL_7_T activated,SNHG12
1.264883775,0,STIM_0_CD14 Mono,CSTB
1.264145104,7.35E-66,STIM_8_T activated,IRF1
1.264142757,8.14E-213,STIM_3_CD4 Memory T,ALOX5AP
1.263729043,6.45E-87,CTRL_8_DC,CD9
1.263160924,5.37E-54,STIM_10_B Activated,PMAIP1
1.262786254,1.95E-26,STIM_12_pDC,SSR3
1.262687088,1.88E-26,STIM_12_pDC,HSP90B1
1.262642239,0,STIM_0_CD14 Mono,IL1RN
1.262524432,1.93E-116,STIM_11_Mk,CLU
1.261496128,0,STIM_0_CD14 Mono,HSPA1A
1.261033957,3.20E-270,CTRL_4_CD16 Mono,GBP5
1.260998326,4.35E-182,CTRL_10_Mk,TREML1
1.26006233,0,STIM_0_CD14 Mono,IGSF6
1.259529093,1.87E-62,STIM_10_B Activated,C1QBP
1.258887504,1.83E-231,STIM_12_pDC,PNOC
1.258478313,0,STIM_7_CD16 Mono,CH25H
1.25847699,7.01E-62,STIM_8_T activated,SOD1
1.256278787,1.96E-75,STIM_9_DC,IDO1
1.255504485,5.90E-251,STIM_11_Mk,SPARC
1.254431764,2.21E-295,STIM_1_CD14 Mono,RP11-701P16.5
1.253047585,1.27E-22,CTRL_12_pDC,SMIM14
1.252578909,6.29E-98,CTRL_5_NK-CD8 T,APMAP
1.249535775,1.85E-63,CTRL_7_T activated,ZNF331
1.249038928,7.95E-76,CTRL_5_NK-CD8 T,OASL
1.248427839,1.83E-44,STIM_8_T activated,TSC22D3
1.248393795,0,CTRL_2_CD14 Mono,ANXA5
1.248134944,5.43E-16,CTRL_9_B Activated,HSPA5
1.246627576,1.15E-81,CTRL_5_NK-CD8 T,DUSP2
1.243984933,7.52E-45,STIM_8_T activated,HSPA8
1.243529643,9.32E-227,STIM_6_NK-CD8 T,KLRC1
1.23996343,6.56E-72,CTRL_9_B Activated,DUSP4
1.239341512,1.39E-73,STIM_9_DC,FGL2
1.239213801,5.90E-33,STIM_8_T activated,CCNL1
1.239015544,9.73E-53,STIM_10_B Activated,FKBP4
1.238777194,5.54E-110,CTRL_7_T activated,BTG1
1.238134851,7.96E-06,STIM_8_T activated,HSPA1B
1.237160874,2.83E-78,CTRL_12_pDC,PLA2G16
1.234275334,4.13E-233,CTRL_1_CD4 Naive T,LEF1
1.233413503,2.84E-205,STIM_4_CD4 Naive T,SELL
1.232872869,9.05E-55,CTRL_6_B,IGJ
1.230055007,2.42E-127,STIM_6_NK-CD8 T,CHST12
1.229769374,0,CTRL_0_CD14 Mono,MARCKSL1
1.228603941,3.90E-68,CTRL_7_T activated,RHOH
1.227851669,0,STIM_1_CD14 Mono,ANXA5
1.227323236,1.04E-55,CTRL_7_T activated,SNHG8
1.225751374,9.21E-12,STIM_10_B Activated,CD69
1.225538241,1.11E-51,STIM_9_DC,HLA-DRB5
1.224305823,1.20E-184,STIM_12_pDC,MZB1
1.224281807,2.51E-51,STIM_12_pDC,HMGN3
1.223594295,3.61E-279,CTRL_2_CD14 Mono,S100A9
1.223464479,3.07E-236,CTRL_0_CD14 Mono,VCAN
1.223150884,2.77E-108,STIM_7_CD16 Mono,PLAC8
1.222670993,0,CTRL_0_CD14 Mono,IL8
1.222397237,1.08E-19,CTRL_12_pDC,HLA-DMB
1.220697422,6.82E-61,CTRL_7_T activated,STK17A
1.220252473,1.26E-44,STIM_8_T activated,JUNB
1.219744291,3.05E-102,STIM_8_T activated,ICOS
1.219630561,6.67E-93,STIM_10_B Activated,IMP4
1.218981028,2.27E-99,CTRL_6_B,HERPUD1
1.218210041,1.14E-31,CTRL_12_pDC,OPN3
1.21779643,4.64E-64,STIM_10_B Activated,SNRPD1
1.217508514,2.62E-101,STIM_9_DC,LSP1
1.216977985,5.76E-270,STIM_7_CD16 Mono,VASP
1.216892082,6.33E-32,CTRL_7_T activated,TXNIP
1.216700149,2.78E-79,STIM_8_T activated,CYTIP
1.216161905,2.28E-166,STIM_4_CD4 Naive T,GTF3A
1.214673074,0,CTRL_0_CD14 Mono,S100A4
